Name MC MP
Bitcoin 119,996,455,215,131 56.42%
Ethereum 33,673,204,843,845 15.83%
Tether 10,186,797,331,467 4.79%
BN 7,757,282,524,660 3.65%
Solana 6,963,289,924,966 3.27%
USD 3,060,960,977,271 1.44%
XR 2,583,775,139,965 1.21%
Toncoin 2,021,995,742,171 0.95%
Dogecoin 1,980,545,132,070 0.93%
Cardano 1,521,897,208,645 0.72%
Shiba 1,288,445,052,063 0.61%
Avalanche 1,247,817,832,431 0.59%
TRON 967,382,297,059 0.45%
Polkadot 918,439,459,689 0.43%
Chainlink 903,941,506,428 0.43%
Bitcoin 886,848,639,946 0.42%
NEAR 764,478,743,315 0.36%
Polygon 623,068,805,288 0.29%
Litecoin 564,059,696,432 0.27%
Internet 537,586,841,663 0.25%
UNUS 500,387,934,278 0.24%
Da 488,897,428,926 0.23%
Uniswap 422,513,420,422 0.20%
Ethereum 369,555,640,241 0.17%
Heder 364,687,352,629 0.17%
Rende 361,474,767,366 0.17%
Pep 350,424,880,798 0.16%
First 324,694,489,053 0.15%
Apto 324,878,309,627 0.15%
Immutabl 307,644,500,324 0.14%
Crono 297,088,507,669 0.14%
Cosmo 296,849,855,308 0.14%
Mantl 282,830,692,754 0.13%
Filecoi 282,189,838,002 0.13%
Stella 280,571,290,564 0.13%
Arweav 278,031,162,879 0.13%
OK 269,250,389,915 0.13%
Kasp 264,475,777,511 0.12%
Stack 261,978,667,376 0.12%
The 261,327,257,325 0.12%
Optimis 245,143,052,128 0.12%
Arbitru 237,462,222,748 0.11%
Make 233,949,436,125 0.11%
VeChai 229,530,688,969 0.11%
Moner 229,024,552,624 0.11%
Bittenso 227,868,756,736 0.11%
dogwifha 226,460,467,639 0.11%
Su 220,075,782,518 0.10%
Fanto 215,776,760,046 0.10%
Injectiv 209,483,980,333 0.10%
THORChai 202,788,807,851 0.10%
Theta 196,911,900,044 0.09%
Fetch.a 170,543,149,436 0.08%
FLOK 169,347,858,138 0.08%
Bon 150,800,857,274 0.07%
Celesti 148,564,918,249 0.07%
Cor 145,404,957,909 0.07%
Jupite 145,464,518,375 0.07%
Lido 141,110,473,551 0.07%
Se 140,308,152,741 0.07%
Bitget 139,293,601,309 0.07%
Algoran 131,361,639,011 0.06%
Akash 122,825,458,940 0.06%
Gal 120,710,364,586 0.06%
Flo 120,639,501,119 0.06%
Bitcoin 118,244,757,761 0.06%
Aav 115,887,772,812 0.05%
Ond 115,780,939,024 0.05%
Bea 112,247,448,054 0.05%
SingularityNE 108,154,293,660 0.05%
Quan 105,013,782,908 0.05%
BitTorrent 104,713,748,932 0.05%
Flar 102,302,602,000 0.05%
dYdX 99,163,733,342 0.05%
Ethen 97,654,730,778 0.05%
Ne 95,992,480,153 0.05%
Multivers 94,901,347,062 0.04%
Axie 94,505,436,987 0.04%
Worldcoi 93,678,030,906 0.04%
Chili 93,481,196,207 0.04%
eCas 90,403,970,735 0.04%
The 89,046,538,605 0.04%
JasmyCoi 89,011,522,968 0.04%
Wormhol 87,842,203,713 0.04%
KuCoin 85,087,060,290 0.04%
Conflu 82,470,382,779 0.04%
Tezo 82,298,507,555 0.04%
EO 81,165,262,876 0.04%
AIOZ 80,451,029,985 0.04%
Roni 80,066,056,565 0.04%
Min 77,992,103,168 0.04%
Syntheti 77,158,611,285 0.04%
ORD 76,260,041,683 0.04%
Decentralan 73,837,222,942 0.03%
BOOK 69,988,932,619 0.03%
Starkne 70,000,060,836 0.03%
Gnosi 69,571,301,612 0.03%
Nex 67,154,591,231 0.03%
GateToke 66,907,265,638 0.03%
USD 66,751,099,472 0.03%
